model,mean_error,max_error,rollout_time,hidden_dim,num_layers,dt
NeuralRK_VDP_hd16_layers1_dt0.1_RK4.pt,0.04622916132211685,0.2511666715145111,0.0010144710540771484,16,1,0.1
NeuralRK_VDP_hd16_layers2_dt0.1_RK4.pt,0.030013060197234154,0.11902278661727905,0.0010056495666503906,16,2,0.1
NeuralRK_VDP_hd16_layers3_dt0.1_RK4.pt,0.04536808282136917,0.2496514767408371,0.0010013580322265625,16,3,0.1
NeuralRK_VDP_hd16_layers4_dt0.1_RK4.pt,0.03079869970679283,0.17930398881435394,0.0011303424835205078,16,4,0.1
NeuralRK_VDP_hd2_layers1_dt0.1_RK4.pt,0.28419262170791626,1.661009669303894,0.0,2,1,0.1
NeuralRK_VDP_hd2_layers2_dt0.1_RK4.pt,2.8717007637023926,42.04109573364258,0.0009987354278564453,2,2,0.1
NeuralRK_VDP_hd2_layers3_dt0.1_RK4.pt,0.6824564933776855,5.58570671081543,0.000993490219116211,2,3,0.1
NeuralRK_VDP_hd2_layers4_dt0.1_RK4.pt,0.5971698760986328,5.171816349029541,0.000997304916381836,2,4,0.1
NeuralRK_VDP_hd4_layers1_dt0.1_RK4.pt,0.16899816691875458,0.8263800740242004,0.0009980201721191406,4,1,0.1
NeuralRK_VDP_hd4_layers2_dt0.1_RK4.pt,0.11683640629053116,0.6114163994789124,0.0009989738464355469,4,2,0.1
NeuralRK_VDP_hd4_layers3_dt0.1_RK4.pt,0.11422976106405258,0.29338744282722473,0.0009922981262207031,4,3,0.1
NeuralRK_VDP_hd4_layers4_dt0.1_RK4.pt,0.09336817264556885,0.29352667927742004,0.0009980201721191406,4,4,0.1
NeuralRK_VDP_hd8_layers1_dt0.1_RK4.pt,0.13484206795692444,0.7458407282829285,0.0019974708557128906,8,1,0.1
NeuralRK_VDP_hd8_layers2_dt0.1_RK4.pt,0.05344938486814499,0.16981327533721924,0.003000497817993164,8,2,0.1
NeuralRK_VDP_hd8_layers3_dt0.1_RK4.pt,0.06361044943332672,0.23808686435222626,0.0019960403442382812,8,3,0.1
NeuralRK_VDP_hd8_layers4_dt0.1_RK4.pt,0.044574934989213943,0.15676045417785645,0.0009999275207519531,8,4,0.1
