dt,mean_error,max_error
0.01,0.002044775290414691,0.018551938235759735
0.02,0.004087965469807386,0.040738545358181
0.05,0.0031859197188168764,0.020633073523640633
0.1,0.006653212942183018,0.10279562324285507
0.2,0.008937137201428413,0.04008783772587776
0.3,0.012980873696506023,0.07092384994029999
